ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,OutletSize,LocationType,Outlet,OutletType,OutletSales
DRA12,11.6,Low Fat,0.041,Soft Drinks,140,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,2553
DRA12,11.6,Low Fat,0.000,Soft Drinks,142,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,3829
DRA12,11.6,Low Fat,0.041,Soft Drinks,142,OUT013,1987,High,Tier 3,Supermarket,Type1,2553
DRA12,11.6,Low Fat,0.000,Soft Drinks,142,OUT035,2004,Small,Tier 2,Supermarket,Type1,993
DRA12,11.6,Low Fat,0.041,Soft Drinks,142,OUT018,2009,Medium,Tier 3,Supermarket,Type2,851
DRA12,11.6,Low Fat,0.069,Soft Drinks,143,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,284
DRA24,11.6,Regular,0.040,Soft Drinks,165,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1147
DRA24,19.35,Regular,0.070,Soft Drinks,163,OUT019,1985,Small,Tier 1,Grocery Store,Type4,491
DRA24,19.35,Regular,0.067,Soft Drinks,164,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,328
DRA24,19.35,Regular,0.040,Soft Drinks,166,OUT027,1985,Medium,Tier 3,Supermarket,Type3,4914
DRA24,19.35,Regular,0.040,Soft Drinks,163,OUT035,2004,Small,Tier 2,Supermarket,Type1,3440
DRA24,19.35,Regular,0.040,Soft Drinks,165,OUT049,1999,Medium,Tier 1,Supermarket,Type1,983
DRA24,19.35,Regular,0.040,Soft Drinks,162,OUT013,1987,High,Tier 3,Supermarket,Type1,4422
DRA59,8.27,Regular,0.128,Soft Drinks,185,OUT046,1997,Small,Tier 1,Supermarket,Type1,4442
DRA59,8.27,Regular,0.128,Soft Drinks,184,OUT049,1999,Medium,Tier 1,Supermarket,Type1,1296
DRA59,8.27,Regular,0.128,Soft Drinks,186,OUT013,1987,High,Tier 3,Supermarket,Type1,555
DRA59,8.27,Regular,0.000,Soft Drinks,183,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,2406
DRA59,8.27,Regular,0.127,Soft Drinks,187,OUT027,1985,Medium,Tier 3,Supermarket,Type3,7034
DRA59,8.27,Regular,0.224,Soft Drinks,186,OUT019,1985,Small,Tier 1,Grocery Store,Type4,555
DRA59,8.27,Regular,0.128,Soft Drinks,187,OUT018,2009,Medium,Tier 3,Supermarket,Type2,4442
DRA59,8.27,Regular,0.214,Soft Drinks,184,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,185
DRB01,7.39,Low Fat,0.082,Soft Drinks,188,OUT049,1999,Medium,Tier 1,Supermarket,Type1,1518
DRB01,7.39,Low Fat,0.082,Soft Drinks,191,OUT013,1987,High,Tier 3,Supermarket,Type1,2467
DRB01,7.39,Low Fat,0.082,Soft Drinks,190,OUT027,1985,Medium,Tier 3,Supermarket,Type3,569
DRB13,6.115,Regular,0.007,Soft Drinks,191,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,3416
DRB13,6.115,Regular,0.007,Soft Drinks,190,OUT035,2004,Small,Tier 2,Supermarket,Type1,569
DRB13,6.115,Regular,0.012,Soft Drinks,189,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,949
DRB13,6.115,Regular,0.007,Soft Drinks,189,OUT013,1987,High,Tier 3,Supermarket,Type1,3605
DRB13,6.115,Regular,0.007,Soft Drinks,189,OUT049,1999,Medium,Tier 1,Supermarket,Type1,3605
DRB24,8.785,Low Fat,0.021,Soft Drinks,155,OUT049,1999,Medium,Tier 1,Supermarket,Type1,4016
DRB24,8.785,Low Fat,0.021,Soft Drinks,156,OUT035,2004,Small,Tier 2,Supermarket,Type1,2163
DRB24,8.785,Low Fat,0.021,Soft Drinks,153,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1854
DRB24,8.785,Low Fat,0.021,Soft Drinks,153,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,4171
DRB25,12.3,Low Fat,0.069,Soft Drinks,106,OUT035,2004,Small,Tier 2,Supermarket,Type1,858
DRB25,12.3,Low Fat,0.069,Soft Drinks,106,OUT027,1985,Medium,Tier 3,Supermarket,Type3,2787
DRB25,12.3,Low Fat,0.069,Soft Drinks,108,OUT013,1987,High,Tier 3,Supermarket,Type1,2037
DRB25,12.3,Low Fat,0.070,Soft Drinks,106,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1715
DRB25,12.3,Low Fat,0.116,Soft Drinks,107,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,214
DRB25,12.3,Low Fat,0.070,Soft Drinks,107,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,2358
DRB48,16.75,Regular,0.025,Soft Drinks,39,OUT013,1987,High,Tier 3,Supermarket,Type1,668
DRB48,16.75,Regular,0.025,Soft Drinks,40,OUT027,1985,Medium,Tier 3,Supermarket,Type3,1296
DRB48,16.75,Regular,0.000,Soft Drinks,39,OUT046,1997,Small,Tier 1,Supermarket,Type1,354
DRB48,16.75,Regular,0.025,Soft Drinks,40,OUT035,2004,Small,Tier 2,Supermarket,Type1,746
DRB48,16.75,Regular,0.042,Soft Drinks,41,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,157
DRB48,16.75,Regular,0.025,Soft Drinks,38,OUT049,1999,Medium,Tier 1,Supermarket,Type1,589
DRB48,16.75,Regular,0.025,Soft Drinks,37,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,550
DRC01,5.92,Regular,0.019,Soft Drinks,48,OUT018,2009,Medium,Tier 3,Supermarket,Type2,443
DRC01,5.92,Regular,0.019,Soft Drinks,49,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1478
DRC01,5.92,Regular,0.019,Soft Drinks,48,OUT027,1985,Medium,Tier 3,Supermarket,Type3,1035
DRC01,5.92,Regular,0.019,Soft Drinks,50,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,1133
DRC01,5.92,Regular,0.019,Soft Drinks,48,OUT046,1997,Small,Tier 1,Supermarket,Type1,493
DRC01,5.92,Regular,0.019,Soft Drinks,50,OUT013,1987,High,Tier 3,Supermarket,Type1,591
DRC12,17.85,Low Fat,0.038,Soft Drinks,189,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,3237
DRC12,17.85,Low Fat,0.038,Soft Drinks,190,OUT046,1997,Small,Tier 1,Supermarket,Type1,2285
DRC12,17.85,Low Fat,0.038,Soft Drinks,192,OUT035,2004,Small,Tier 2,Supermarket,Type1,2475
DRC12,17.85,Low Fat,0.038,Soft Drinks,190,OUT049,1999,Medium,Tier 1,Supermarket,Type1,952
DRC13,8.26,Regular,0.032,Soft Drinks,125,OUT035,2004,Small,Tier 2,Supermarket,Type1,2956
DRC13,8.26,Regular,0.000,Soft Drinks,123,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,739
DRC13,8.26,Regular,0.033,Soft Drinks,125,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1848
DRC13,8.26,Regular,0.033,Soft Drinks,125,OUT018,2009,Medium,Tier 3,Supermarket,Type2,985
DRC24,17.85,Low Fat,0.025,Soft Drinks,153,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,3384
DRC24,17.85,Low Fat,0.025,Soft Drinks,153,OUT018,2009,Medium,Tier 3,Supermarket,Type2,2922
DRC25,17.85,Low Fat,0.079,Soft Drinks,87,OUT019,1985,Small,Tier 1,Grocery Store,Type4,86
DRC25,5.73,Low Fat,0.045,Soft Drinks,86,OUT046,1997,Small,Tier 1,Supermarket,Type1,1117
DRC25,5.73,Low Fat,0.076,Soft Drinks,86,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,172
DRC25,5.73,Low Fat,0.045,Soft Drinks,87,OUT013,1987,High,Tier 3,Supermarket,Type1,1804
DRC25,5.73,Low Fat,0.046,Soft Drinks,85,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1288
DRC25,5.73,Low Fat,0.045,Soft Drinks,85,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,2061
DRC25,5.73,Low Fat,0.000,Soft Drinks,87,OUT027,1985,Medium,Tier 3,Supermarket,Type3,1374
DRC27,13.8,Low Fat,0.058,Dairy,245,OUT035,2004,Small,Tier 2,Supermarket,Type1,5651
DRC27,13.8,Low Fat,0.058,Dairy,247,OUT045,2002,Not Defined,Tier 2,Supermarket,Type1,1474
DRC27,13.8,Low Fat,0.058,Dairy,244,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1965
DRC27,13.8,Low Fat,0.058,Dairy,247,OUT049,1999,Medium,Tier 1,Supermarket,Type1,5896
DRC27,13.8,Low Fat,0.097,Dairy,246,OUT010,1998,Not Defined,Tier 3,Grocery Store,Type4,246
DRC27,13.8,Low Fat,0.058,Dairy,246,OUT018,2009,Medium,Tier 3,Supermarket,Type2,1228
DRC36,13.8,Regular,0.045,Soft Drinks,174,OUT027,1985,Medium,Tier 3,Supermarket,Type3,5778
DRC36,13,Regular,0.045,Soft Drinks,175,OUT046,1997,Small,Tier 1,Supermarket,Type1,1926
DRC36,13,Regular,0.045,Soft Drinks,174,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,4378
DRC36,13,Regular,0.045,Soft Drinks,176,OUT035,2004,Small,Tier 2,Supermarket,Type1,1226
DRC36,13,Regular,0.000,Soft Drinks,174,OUT013,1987,High,Tier 3,Supermarket,Type1,1751
DRC49,13,Low Fat,0.065,Soft Drinks,146,OUT027,1985,Medium,Tier 3,Supermarket,Type3,4027
DRC49,8.67,Low Fat,0.065,Soft Drinks,143,OUT046,1997,Small,Tier 1,Supermarket,Type1,2013
DRC49,8.67,Low Fat,0.065,Soft Drinks,146,OUT035,2004,Small,Tier 2,Supermarket,Type1,2445
DRD01,12.1,Regular,0.061,Soft Drinks,57,OUT035,2004,Small,Tier 2,Supermarket,Type1,829
DRD01,12.1,Regular,0.062,Soft Drinks,56,OUT017,2007,Not Defined,Tier 2,Supermarket,Type1,1437
